nome_contratante,nr_documento_contratante,cidade_contratante,estado_contratante,numero_apolice,data_contratacao,valor_pagamento,valor_premio,nome_beneficiario,status_apolice,Cobertura1,Valor Cob 1,Cobertura2,Valor Cob 2,Cobertura3,Valor Cob 3,capital_segurado
Helena Porto,162.547.890-94,Albuquerque da Praia,PA,5171321418,2025-10-15,225.91,457290.07,Srta. Brenda Duarte,Ativa,Diária por Incapacidade,25.849294,Doenças Graves,6462.3235,Auxílio Funeral,516.98588,129246.47
Carolina Barbosa,769.850.324-00,Câmara do Oeste,RJ,6484403639,2024-06-20,820.26,234033.51,Aurora Vargas,Ativa,Morte Natural,20601.0706,Invalidez Permanente,9364.123,Auxílio Funeral,374.56492,93641.23
Davi Miguel Souza,395.407.618-75,Pacheco,AL,9198363115,2023-11-11,891.5,257784.18,Pedro Miguel Moura,Suspensa,Morte Natural,181357.759,Doenças Graves,41217.6725,Auxílio Funeral,3297.4138,824353.45
Sr. Ian Ferreira,847.205.369-56,Fernandes das Pedras,RS,9027015274,2025-05-20,984.78,108479.68,Alana Abreu,Ativa,Morte Natural,36483.8144,Invalidez Permanente,16583.552,Morte Acidental,44775.5904,165835.52
Daniel Araújo,829.657.143-91,Brito da Prata,ES,846644367,2025-02-26,845.09,223601.37,Daniela Fonseca,Ativa,Auxílio Funeral,407.19696,Invalidez Permanente,10179.924,Diária por Incapacidade,20.359848,101799.24
Diogo Ribeiro,386.102.749-69,da Rosa,AP,610521422,2025-04-22,844.72,30108.85,Clarice Pinto,Ativa,Diária por Incapacidade,39.025016,Invalidez Permanente,19512.508,Morte Natural,42927.5176,195125.08
Sra. Mariah Casa Grande,132.408.756-08,Aparecida de Ferreira,ES,9455568829,2025-04-01,517.39,136606.88,Kevin Brito,Ativa,Doenças Graves,3182.5,Invalidez Permanente,6365.0,Diária por Incapacidade,12.73,63650.0
Theo Pacheco,498.675.031-39,Aragão,SC,8159101767,2024-07-04,948.6,23891.54,Dr. Apollo Caldeira,Ativa,Morte Natural,30173.9218,Morte Acidental,37031.6313,Invalidez Permanente,13715.419,137154.19
Pedro da Rosa,952.178.036-30,Correia,SE,8957196201,2024-02-01,752.72,333103.29,Cauê Oliveira,Ativa,Auxílio Funeral,404.51236,Morte Acidental,27304.5843,Invalidez Permanente,10112.809,101128.09
João Guilherme Machado,126.075.349-25,Lopes,MA,9877683490,2025-10-02,237.57,329853.94,Maria Isis Marques,Ativa,Doenças Graves,28271.9105,Morte Acidental,152668.3167,Morte Natural,124396.4062,565438.21
Yasmin Azevedo,042.831.675-17,da Luz da Prata,RO,7024944254,2023-02-01,470.97,383608.12,Dr. Ravi da Mota,Ativa,Morte Acidental,48795.0291,Morte Natural,39758.9126,Doenças Graves,9036.1165,180722.33
Maria Sophia Farias,681.532.904-60,Silva,RN,2172283022,2025-06-06,683.49,72497.87,Gustavo Sampaio,Ativa,Invalidez Permanente,13599.801,Doenças Graves,6799.9005,Diária por Incapacidade,27.199602,135998.01
Sra. Maria Alice Vargas,834.259.706-74,Camargo do Sul,DF,6144110220,2025-03-12,375.91,384729.86,Apollo Cavalcanti,Ativa,Doenças Graves,9187.7095,Auxílio Funeral,735.01676,Diária por Incapacidade,36.750838,183754.19
Matteo Caldeira,635.849.120-24,Lima,MG,8973930087,2023-09-18,335.76,148357.79,Luiz Otávio Albuquerque,Ativa,Morte Acidental,49136.4009,Doenças Graves,9099.3335,Invalidez Permanente,18198.667,181986.67
Dr. Rael Sousa,216.594.307-80,da Conceição,RR,7728958789,2024-11-12,678.4,461199.8,Sr. João Mendonça,Ativa,Doenças Graves,6623.329,Morte Acidental,35765.9766,Morte Natural,29142.6476,132466.58
Mateus Castro,204.719.863-13,Rocha,CE,4805469705,2025-03-30,122.93,276411.46,Dr. Gabriel Farias,Ativa,Auxílio Funeral,224.93512,Morte Acidental,15183.1206,Morte Natural,12371.4316,56233.78
Ana Luiza Camargo,965.047.123-52,Albuquerque Grande,PA,9922619013,2025-07-22,662.84,149502.45,Maria Fernanda Leão,Ativa,Invalidez Permanente,16108.63,Auxílio Funeral,644.3452,Doenças Graves,8054.315,161086.3
Bruno Nunes,917.845.602-94,Farias Grande,DF,2999405210,2024-12-14,611.44,481370.14,Miguel Lima,Ativa,Doenças Graves,6143.724,Invalidez Permanente,12287.448,Morte Acidental,33176.1096,122874.48
Breno Vieira,637.894.520-92,Abreu do Norte,CE,4223311551,2025-09-15,898.21,406383.9,Ana Cecília Freitas,Suspensa,Morte Acidental,21438.7668,Doenças Graves,3970.142,Morte Natural,17468.6248,79402.84
Anthony Gabriel Marques,954.208.761-67,Lopes da Mata,MT,3344229094,2023-08-03,142.18,151219.54,Ana Lívia Borges,Ativa,Auxílio Funeral,645.73716,Diária por Incapacidade,32.286858,Invalidez Permanente,16143.429,161434.29
Léo Marques,571.038.629-40,Cavalcante de Peixoto,MT,4259721809,2023-09-09,685.0,237808.77,Srta. Ana Luiza Moraes,Ativa,Doenças Graves,3848.649,Morte Acidental,20782.7046,Morte Natural,16934.0556,76972.98
Fernanda Rezende,064.289.753-00,Costela,ES,5873028928,2023-11-09,175.54,499353.79,Mariana Teixeira,Ativa,Diária por Incapacidade,28.216688,Doenças Graves,7054.172,Morte Natural,31038.3568,141083.44
Lara Carvalho,175.860.923-03,Nunes do Norte,MG,1748460473,2023-02-20,137.11,353773.55,Sr. Davi Miguel Ribeiro,Ativa,Morte Acidental,16862.4747,Invalidez Permanente,6245.361,Diária por Incapacidade,12.490722,62453.61
Gabriela Ferreira,586.943.127-19,Porto de Minas,CE,1335692853,2025-01-10,869.69,29720.95,Lívia Azevedo,Ativa,Auxílio Funeral,727.63332,Diária por Incapacidade,36.381666,Morte Natural,40019.8326,181908.33
Noah Sousa,236.081.547-44,Sousa,BA,3694576823,2024-01-15,630.16,102400.33,Vitória Peixoto,Ativa,Morte Acidental,46363.3632,Morte Natural,37777.5552,Invalidez Permanente,17171.616,171716.16
Dr. Marcelo Pastor,786.214.503-80,Nascimento Alegre,PA,8175830848,2023-07-04,888.19,383615.98,Dr. Rodrigo da Cunha,Suspensa,Invalidez Permanente,9025.943,Doenças Graves,4512.9715,Diária por Incapacidade,18.051886,90259.43
Sra. Jade Pacheco,359.604.128-70,Aragão de Ribeiro,SP,1402387416,2024-04-12,628.27,9787.14,Nina Machado,Cancelada,Auxílio Funeral,326.1,Invalidez Permanente,8152.5,Diária por Incapacidade,16.305,81525.0
Isabelly Sousa,189.765.234-82,Lopes do Oeste,PI,7157109530,2024-03-16,939.34,365081.43,Dr. Benjamin Lopes,Ativa,Morte Acidental,53406.3348,Invalidez Permanente,19780.124,Diária por Incapacidade,39.560248,197801.24
