nome_contratante,nr_documento_contratante,cidade_contratante,estado_contratante,numero_apolice,data_contratacao,valor_pagamento,valor_premio,nome_beneficiario,status_apolice,Cobertura1,Valor Cob 1,Cobertura2,Valor Cob 2,Cobertura3,Valor Cob 3,capital_segurado
João Rocha,923.074.865-00,da Rosa Paulista,SP,3792979700,2023-07-05,51442.44,66198282.93,Nicolas Machado,Ativa,Morte Acidental,175797447.00,Morte Natural,143242364.20,Auxílio Funeral,2604406.62,651101655.70
Helena Porto,162.547.890-94,Albuquerque da Praia,PA,5171321418,2025-10-15,225.91,457290.07,Srta. Brenda Duarte,Ativa,Diá­ria por Incapacidade,25.85,Doenças Graves,6462.32,Auxílio Funeral,516.99,129246.47
Carolina Barbosa,769.850.324-00,Câmara do Oeste,RJ,6484403639,2024-06-20,820.26,234033.51,Aurora Vargas,Ativa,Morte Natural,20601.07,Invalidez Permanente,9364.12,Auxílio Funeral,374.56,93641.23
Davi Miguel Souza,395.407.618-75,Pacheco,AL,9198363115,2023-11-11,891.50,257784.18,Pedro Miguel Moura,Suspensa,Morte Natural,181357.76,Doenças Graves,41217.67,Auxílio Funeral,3297.41,824353.45
Sr. Ian Ferreira,847.205.369-56,Fernandes das Pedras,RS,9027015274,2025-05-20,984.78,108479.68,Alana Abreu,Ativa,Morte Natural,36483.81,Invalidez Permanente,16583.55,Morte Acidental,44775.59,165835.52
Ravi Lucca Lima,172.930.865-12,Moraes,PB,3951364659,2023-09-04,448.62,173329.70,Enzo Gabriel Albuquerque,Ativa,Diá­ria por Incapacidade,179.89,Morte Acidental,242850.44,Auxílio Funeral,3597.78,899446.07
Daniel Araújo,829.657.143-91,Brito da Prata,ES,846644367,2025-02-26,845.09,223601.37,Daniela Fonseca,Ativa,Auxílio Funeral,407.20,Invalidez Permanente,10179.92,Diá­ria por Incapacidade,20.36,101799.24
Diogo Ribeiro,386.102.749-69,da Rosa,AP,610521422,2025-04-22,844.72,30108.85,Clarice Pinto,Ativa,Diá­ria por Incapacidade,39.03,Invalidez Permanente,19512.51,Morte Natural,42927.52,195125.08
Vinícius Gonçalves,482.351.970-14,Siqueira de Sampaio,SP,2080249458,2023-03-19,1786.96,1363766.89,Ísis Abreu,Ativa,Invalidez Permanente,119266.13,Doenças Graves,59633.07,Morte Acidental,322018.56,1192661.33
Sra. Mariah Casa Grande,132.408.756-08,Aparecida de Ferreira,ES,9455568829,2025-04-01,517.39,136606.88,Kevin Brito,Ativa,Doenças Graves,3182.50,Invalidez Permanente,6365.00,Diá­ria por Incapacidade,12.73,63650.00
Theo Pacheco,498.675.031-39,Aragão,SC,8159101767,2024-07-04,948.60,23891.54,Dr. Apollo Caldeira,Ativa,Morte Natural,30173.92,Morte Acidental,37031.63,Invalidez Permanente,13715.42,137154.19
Dr. Rhavi da Cunha,681.593.024-60,Montenegro de Minas,DF,2933157486,2023-06-03,676.30,457709.75,Maria Julia Jesus,Cancelada,Morte Natural,200013065.60,Diá­ria por Incapacidade,181830.06,Auxílio Funeral,3636601.19,909150298.00
Pedro da Rosa,952.178.036-30,Correia,SE,8957196201,2024-02-01,752.72,333103.29,Cauá¦ Oliveira,Ativa,Auxílio Funeral,404.51,Morte Acidental,27304.58,Invalidez Permanente,10112.81,101128.09
João Guilherme Machado,126.075.349-25,Lopes,MA,9877683490,2025-10-02,237.57,329853.94,Maria Isis Marques,Ativa,Doenças Graves,28271.91,Morte Acidental,152668.32,Morte Natural,124396.41,565438.21
Yasmin Azevedo,042.831.675-17,da Luz da Prata,RO,7024944254,2023-02-01,470.97,383608.12,Dr. Ravi da Mota,Ativa,Morte Acidental,48795.03,Morte Natural,39758.91,Doenças Graves,9036.12,180722.33
Maria Sophia Farias,681.532.904-60,Silva,RN,2172283022,2025-06-06,683.49,72497.87,Gustavo Sampaio,Ativa,Invalidez Permanente,13599.80,Doenças Graves,6799.90,Diá­ria por Incapacidade,27.20,135998.01
