nome_segurado,tipo_sinistro,nome_beneficiario,valor_sinistro,quem_forma_beneficiados,status_seguro,regiao_sinistro
Dom Porto,Invalidez Permanente,Marcela Cirino,449472.97,Eduardo Garcia,Pago,Rezende
Maria Luiza Peixoto,Doença Grave,Samuel Pires,52007.16,Kamilly Fogaça,Negado,da Rosa
Lavínia Correia,Morte Acidental,Dra. Melina Duarte,45776.45,Anthony Garcia,Pago,Carvalho da Praia
Ana Carolina Rocha,Morte Acidental,Dr. Thales Barbosa,81559.4,Rafaela Viana,Em análise,Sampaio
João Miguel Cavalcanti,Doença Grave,Igor Almeida,28539.11,Gustavo Moura,Em análise,Gomes do Amparo
Isabela Casa Grande,Morte Acidental,Sarah Casa Grande,34626.15,Olívia Santos,Em análise,Alves da Mata
Srta. Laís Oliveira,Morte Acidental,Dr. Antônio Pacheco,60311.06,Ravi Câmara,Em análise,Pastor
Kevin Carvalho,Invalidez Permanente,Emanuella Porto,74078.86,Murilo Silveira,Negado,Moreira
Luiz Miguel Castro,Morte Acidental,Davi Lucas Albuquerque,28766.66,Davi Lucas da Costa,Em análise,Duarte de Viana
Dr. Luigi Montenegro,Morte Acidental,Vitor Monteiro,270069.53,Juan Fernandes,Negado,da Mota
Ravi Pires,Morte Acidental,Sr. Vicente Barbosa,62835.15,Pedro Lucas Cunha,Pago,Dias
Theo Nogueira,Invalidez Permanente,Srta. Cecilia Ribeiro,59771.21,Cauê Nascimento,Em análise,Melo
Benício Nogueira,Morte Acidental,Srta. Camila Costela,96216.64,Sra. Emanuelly da Conceição,Em análise,Brito dos Dourados
Asafe Montenegro,Morte Acidental,Hadassa Santos,85144.26,Gustavo Henrique Lopes,Negado,Pereira das Flores
Marina Barbosa,Invalidez Permanente,Erick da Rosa,30922.31,Alexandre Machado,Pago,Rocha
Ísis Fonseca,Invalidez Permanente,Sr. Enzo Costa,262578.65,Maya Lopes,Pago,Novaes
Yuri Andrade,Doença Grave,Lucca da Conceição,62839.17,Arthur Gabriel Gomes,Pago,da Mata
Luiz Fernando Aragão,Morte Acidental,Luísa Monteiro,459360.46,Valentina Sá,Em análise,Garcia
Lucas Freitas,Doença Grave,Sr. Ryan Borges,351493.64,João Vitor Siqueira,Em análise,Leão
Vinicius da Conceição,Invalidez Permanente,Zoe Gomes,11194.61,Isadora Siqueira,Em análise,Nascimento Alegre
Ana Sophia Montenegro,Doença Grave,Dom Camargo,91635.25,Vitor Hugo Novaes,Negado,da Mata
Dra. Fernanda Macedo,Morte Acidental,Oliver Farias,345178.9,Pedro Lucas Martins,Pago,Macedo
Breno Lopes,Morte Acidental,Manuella da Conceição,63843.59,Bruno Cassiano,Negado,da Conceição de da Cruz
Dr. Vitor Hugo Sousa,Invalidez Permanente,Pedro Henrique Borges,38833.6,Vinicius Novaes,Em análise,Garcia da Prata
Otávio Caldeira,Auxílio Funeral,Antônio Fogaça,93508.71,Catarina da Luz,Pago,Garcia Verde
João Vitor Araújo,Morte Acidental,Sophie Abreu,51649.89,Isaque Cassiano,Em análise,Correia
Cecilia da Luz,Morte Acidental,Carlos Eduardo Vieira,62319.78,Dante Novaes,Pago,Duarte
Hellena Pimenta,Doença Grave,Melissa Cassiano,51659.75,Emilly Viana,Negado,Dias do Amparo
André Guerra,Invalidez Permanente,Rhavi Gonçalves,420353.57,Maria Sophia Brito,Pago,Aparecida do Galho
Théo Borges,Auxílio Funeral,Dr. Lucas Gabriel Montenegro,25854.25,Rebeca Cavalcante,Negado,Almeida Alegre
Brayan Costa,Invalidez Permanente,Gustavo Martins,71837.25,Luiz Henrique da Rosa,Negado,Guerra de das Neves
João Fogaça,Doença Grave,Srta. Ágatha Nunes,96338.9,Ana Laura Monteiro,Pago,Azevedo do Campo
Lavínia Andrade,Morte Acidental,Anthony da Mota,379581.95,Sr. Pedro Miguel Porto,Em análise,Souza de Carvalho
Yago Dias,Doença Grave,Dra. Luara da Paz,399518.92,Luiz Fernando Sousa,Pago,Albuquerque
Henry Aragão,Morte Acidental,Agatha Gonçalves,45625.63,Manuela Aragão,Pago,Melo Alegre
José Pedro Costela,Morte Acidental,Sr. Daniel da Mota,51128.73,Sr. Rhavi Gomes,Em análise,Vargas das Flores
Clara Câmara,Auxílio Funeral,Ana Liz Novais,42321.63,Pietra Sales,Em análise,Porto dos Dourados
Gustavo Barbosa,Morte Acidental,Théo Casa Grande,64102.02,Isabel Castro,Em análise,Silva das Flores
Stella Costa,Auxílio Funeral,Ana Cecília Nunes,94647.15,Fernando Costa,Em análise,da Rosa da Serra
Ana Beatriz Gomes,Auxílio Funeral,Otto Abreu,74376.85,Ian Câmara,Negado,Moura do Campo
Igor Montenegro,Morte Acidental,Luiza das Neves,274594.96,Emanuel Andrade,Negado,Câmara dos Dourados
Maria da Rosa,Doença Grave,Stephany Cavalcante,49248.8,Sr. Antônio Cassiano,Em análise,da Rosa
Gabrielly Caldeira,Invalidez Permanente,Manuela da Rosa,85444.61,Aylla Novais,Negado,Moura Verde
Antony Aparecida,Invalidez Permanente,Joana Moreira,18840.77,Marcela Sousa,Em análise,Vasconcelos do Norte
Gabriela Pereira,Doença Grave,Sr. Léo Fogaça,86391.79,Pietro Marques,Pago,Nascimento da Serra
Igor Pires,Invalidez Permanente,Bruna Borges,58656.21,Brenda Rezende,Pago,Macedo Verde
Srta. Vitória Almeida,Doença Grave,Luna Montenegro,78583.26,Gabriela Jesus,Em análise,Caldeira do Oeste
Lunna Moura,Auxílio Funeral,Miguel Alves,300985.54,Sra. Luna Caldeira,Pago,Duarte Grande
Ana Carolina Duarte,Invalidez Permanente,Pedro Lucas Casa Grande,21877.27,Daniel Pacheco,Em análise,Abreu dos Dourados
Ryan Santos,Morte Acidental,Bárbara Abreu,88502.16,Sra. Pietra Silva,Pago,Rodrigues Paulista
Igor Marques,Invalidez Permanente,Enrico Campos,29255.98,Maria Luísa Barbosa,Pago,Farias Grande
Yan Lima,Morte Acidental,Giovanna Garcia,458554.92,Emanuella Barros,Negado,Alves do Norte
Maria Eduarda Aragão,Doença Grave,Fernando Carvalho,60973.24,Lavínia Viana,Em análise,Farias
Juliana Casa Grande,Invalidez Permanente,Dom Santos,12230.96,Beatriz Gomes,Negado,Novais da Prata
Ravy Andrade,Morte Acidental,Sr. Kevin Sampaio,74031.97,Ravi Gomes,Em análise,Moura da Prata
Guilherme Peixoto,Morte Acidental,Manuella Santos,266612.38,Sra. Liz Silva,Em análise,Pastor das Flores
Thomas Ribeiro,Invalidez Permanente,Lorenzo Cassiano,12521.49,Dra. Maysa Almeida,Pago,Nunes de Rodrigues
Gabriela da Mota,Morte Acidental,Dr. Bento Sousa,81674.07,Dr. Ryan Cassiano,Em análise,Lima
